Producto,Precio,Categoría,Ingrediente,Cantidad,Origen,Notas,
,,,Dianthus,5,DCB,"Vanessa 2026-09-11 (dictado): ""cinco y cinco""",
,,,Green Ball,5,DCB,,
Paquete amaranto velvet,40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Amaranto velvet,8,DCB,"Vanessa 2026-09-11 (dictado): ""mas o menos ocho tallos""",
Paquete plumas con lisianthus,60000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Lisianthus,5,DCB,"Vanessa 2026-09-11 (dictado): ""cinco lisianthus con cinco plumas""",
,,,Celosia plumosa,5,DCB,"""plumas"" = Celosia plumosa. CONFIRMADO por Vanessa 2026-09-11: ""plumas es o sea plumosa""",
Colita de conejo,36000,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Colitas de conejo,20,DCB,"Vanessa 2026-09-11 (dictado): ""cuando se la vendemos a un event planner, le vendemos mas o menos veinte tallos""",
Paquete trachellium,50000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Trachelium,10,DCB,"Vanessa 2026-09-11 (dictado): ""diez tallos""",
Paquete statice y larkspur,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Statice,5,DCB,"Vanessa 2026-09-11 (dictado): ""como cinco statice y como ocho larkspur""",
,,,Larkspur,8,DCB,,
Paquete campanulas blancas,50000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Campanula blanca,8,DCB,"Vanessa 2026-09-11 (dictado): ""mas o menos ocho tallos""",
Paquete campanulas lavanda,45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Campanula Champion Lavender,10-12,DCB,"Vanessa 2026-09-11 (dictado): ""diez tallos, a veces doce""",
Event celosias cristata,42500,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Celosia cristata,10,DCB,"Vanessa 2026-09-11 (dictado): ""es con el quince por ciento de descuento, pero son las mismas diez""",
Dianthus mini green,60000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Dianthus,5,DCB,"Vanessa 2026-09-11 (dictado): ""cinco dianthus, cinco mini green""",
,,,Hortensia Mini Green,5,Comprado,"Vanessa 2026-09-11: ""Minigrin es una hortensia que compramos, que normalmente me cuesta ocho mil el paquete de diez"" = $800 por tallo. NO es tallo propio: no cuenta como DCB",
Paquete zinnias pink,58000,Paquete,1 flores DCB + 1 follaje comprado,,,,
,,,Zinnia,10,DCB,"Vanessa 2026-09-11 (dictado): ""son las mismas diez zinnias con tres ruscus""",
,,,Ruscus,3,Comprado,,
Paquete plumas con celosias,50000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Celosia plumosa,6,DCB,"Vanessa 2026-09-11 (dictado): ""seis plumas y cuatro cristatas"". El contraste plumas/cristatas es lo que hace pensar que ""plumas"" = plumosa",
,,,Celosia cristata,4,DCB,,
Event statice ruso solo,40000,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Statice Ruso,15,DCB,"Vanessa 2026-09-11 (dictado): ""son quince tallos""",
Paquete celosia plumosa pink,50000,Paquete,1 flores DCB + 1 follaje comprado,,,,
,,,Celosia plumosa,10-12,DCB,"Vanessa 2026-09-11 (dictado): ""son diez tallos a doce tallos, y con tres eucaliptos""",
,,,Eucalipto de Angela,3,Comprado,,
Bocas de dragon con cardamos,60000,Paquete mixto,1 flores DCB + 1 follaje comprado,,,,
,,,Boca de Dragón,6,DCB,"Vanessa 2026-09-11 (dictado): ""era seis bocas de dragon con cuatro cardamomos""",
,,,Carthamus,4,DCB,"Vanessa 2026-09-11: ""Cardamomo no se que es, debe estar mal escrito, es cartamo o cartamos"" = CARTHAMUS. Esta en ciclos_variedad.csv como cultivo propio (ventana cortisima, 2 semanas). El nombre del producto en la hoja del punto dice ""cardamos"": corregir alla",
Paquete green ball y celosias pink,50000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Green Ball,5,DCB,"Vanessa 2026-09-11 (dictado): ""cinco green ball y cinco celosias plumosas, igual que el lemon""",
,,,Celosia plumosa,5,DCB,,
Paquete green ball y celosias lemon,50000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Green Ball,5,DCB,"Vanessa 2026-09-11 (dictado): ""igual que el lemon""",
,,,Celosia plumosa,5,DCB,,
Celosias plumosss pink 8 a 10 tallos,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Celosia plumosa,8-10,DCB,"Vanessa 2026-09-11 (dictado): ""entre ocho y diez tallos""",
Event campanulas lavanda 8-10 tallos,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Campanula Champion Lavender,10,DCB,"Vanessa 2026-09-11 (dictado): ""suelen ser diez tallos""",
Sobres,5000,No es flor,0 flores DCB + 1 follaje comprado,,,,
,,,SOBRE — no lleva flor,1,Comprado,"Vanessa 2026-09-11 (dictado): ""los sobres que vendemos adicional con la papeleria. Ese sobre solamente esta incluido con los bouquets; con los paquetes no, se cobran aparte""",
